,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,nlimpute,num_doors,num_cylinders,engine_size_cc,power2weight_ratio
0,2,164.0,audi,gas,std,four,sedan,Front Wheel Drive,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102,5500,24,30,13950.0,audi,4,4,1786,0.043645699614890884
1,2,164.0,audi,gas,std,four,sedan,Four Wheel Drive,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115,5500,18,22,17450.0,audi,4,5,2228,0.04072237960339943
2,2,161.0,audi,gas,std,two,sedan,Front Wheel Drive,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,19,25,15250.0,audi,2,5,2228,0.043877143996808934
3,1,158.0,audi,gas,std,four,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,19,25,17710.0,audi,4,5,2228,0.03867791842475387
4,1,161.0,audi,gas,std,four,wagon,Front Wheel Drive,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,19,25,18920.0,audi,4,5,2228,0.037237643872714964
5,1,158.0,audi,gas,turbo,four,sedan,Front Wheel Drive,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140,5500,17,20,23875.0,audi,4,5,2146,0.04536616979909268
6,0,161.0,audi,gas,turbo,two,hatchback,Four Wheel Drive,front,99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.40,7.0,160,5500,16,22,17859.166666666668,audi,2,5,2146,0.05240746806419915
7,2,192.0,bmw,gas,std,two,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16430.0,bmw,2,4,1769,0.042171189979123176
8,0,192.0,bmw,gas,std,four,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,23,29,16925.0,bmw,4,4,1769,0.042171189979123176
9,0,188.0,bmw,gas,std,two,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,bmw,2,6,2687,0.044649446494464944
10,0,188.0,bmw,gas,std,four,sedan,Rear Wheel Drive,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,bmw,4,6,2687,0.04376130198915009
11,1,190.0,bmw,gas,std,four,sedan,Rear Wheel Drive,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,bmw,4,6,2687,0.03960720130932897
12,0,190.0,bmw,gas,std,four,sedan,Rear Wheel Drive,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,bmw,4,6,3424,0.056346749226006194
13,0,190.0,bmw,gas,std,two,sedan,Rear Wheel Drive,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,bmw,2,6,3424,0.05384615384615385
14,0,190.0,bmw,gas,std,four,sedan,Rear Wheel Drive,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,bmw,4,6,3424,0.051925820256776035
15,2,121.0,chevrolet,gas,std,two,hatchback,Front Wheel Drive,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151.0,,2,3,999,0.03225806451612903
16,1,98.0,chevrolet,gas,std,two,hatchback,Front Wheel Drive,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,,2,4,1474,0.03735325506937033
17,0,81.0,chevrolet,gas,std,four,sedan,Front Wheel Drive,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,,4,4,1474,0.03666841278156103
18,1,118.0,dodge,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572.0,,2,4,1474,0.03624733475479744
19,1,118.0,dodge,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377.0,,2,4,1474,0.03624733475479744
20,1,118.0,dodge,gas,turbo,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957.0,,2,4,1605,0.047932330827067667
21,1,148.0,dodge,gas,std,four,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,,4,4,1474,0.03457041179461108
22,1,148.0,dodge,gas,std,four,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,,4,4,1474,0.03418803418803419
23,1,148.0,dodge,gas,std,four,sedan,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,,4,4,1474,0.03418803418803419
25,-1,110.0,dodge,gas,std,four,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,,4,4,1999,0.03471400394477318
26,3,145.0,dodge,gas,turbo,two,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.60,3.90,7.0,145,5000,19,24,12964.0,,2,4,2556,0.05158306652436855
27,2,137.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,,2,4,1507,0.033858727378867484
28,2,137.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855.0,,2,4,1507,0.04178119846069269
29,1,101.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,,2,4,1294,0.0326619488296135
30,1,101.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529.0,,2,4,1507,0.03917525773195876
31,1,101.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,,2,4,1507,0.03885480572597137
32,0,110.0,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,,4,4,1507,0.03781094527363184
33,0,78.0,honda,gas,std,four,wagon,Front Wheel Drive,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,,4,4,1507,0.037549407114624504
34,0,106.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,,2,4,1802,0.038461538461538464
35,0,106.0,honda,gas,std,two,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095.0,,2,4,1802,0.037570991699432066
36,0,85.0,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,,4,4,1802,0.03732638888888889
37,0,85.0,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,,4,4,1802,0.03625632377740304
38,0,85.0,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945.0,,4,4,1802,0.040973630831643
39,1,107.0,honda,gas,std,two,sedan,Front Wheel Drive,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345.0,,2,4,1802,0.043610989969472304
40,0,145.0,jaguar,gas,std,four,sedan,Rear Wheel Drive,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,,4,6,4227,0.04328578455484506
41,1,104.0,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,2,4,1491,0.03597883597883598
42,1,104.0,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,2,4,1491,0.035789473684210524
43,1,104.0,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,2,4,1491,0.03569553805774278
